"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"11",7298,22171,"Developed-High Intensity",7298,2904,"Bau Developed-High Intensity","Developed","Developed-High Intensity",24,"Developed-High Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",173,0,28,0.678431,0,0.109804,4931,0.1
"12",7299,592069,"Developed-Roads",7299,2905,"Bau Developed-Roads","Developed","Developed-Roads",25,"Developed-Roads","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",1,1,1,0.003922,0.003922,0.003922,131673,2.3
"13",7301,1151896,"Laurentian-Acadian Sub-boreal Aspen-Birch Forest",7301,2301,"Tr Boreal Aspen-Birch Forest","Tree","Hardwood",652,"Aspen-Birch Forest","SAF 16: Aspen","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",192,255,138,0.752941,1,0.541176,256176,4.5
"14",7302,5936858,"Laurentian-Acadian Northern Hardwoods Forest",7302,2302,"Tr Laurentian-Acadian Northern Hardwoods Forest","Tree","Hardwood",682,"Yellow Birch-Sugar Maple Forest","SAF 27: Sugar Maple","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",171,255,138,0.670588,1,0.541176,1320325,23.3
"15",7314,2,"North-Central Interior Maple-Basswood Forest",7314,2314,"Tr North-Central Interior Maple-Basswood Forest","Tree","Hardwood",655,"Beech-Maple-Basswood Forest","SAF 26: Sugar Maple-Basswood","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",171,255,138,0.670588,1,0.541176,0,0
"16",7362,193215,"Laurentian-Acadian Northern Pine Forest",7362,2362,"Tr Laurentian-Acadian Northern Pine Forest","Tree","Conifer",665,"Red Pine-White Pine Forest and Woodland","SAF 15: Red Pine","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",174,245,224,0.682353,0.960784,0.878431,42970,0.8
"17",7366,1000975,"Laurentian-Acadian Pine-Hemlock Forest",7366,2366,"Tr Laurentian-Acadian Pine-Hemlock Forest","Tree","Conifer",685,"Pine-Hemlock-Hardwood Forest","SAF 24: Hemlock-Yellow Birch","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,92,0,0,0.360784,0,222611,3.9
"18",7407,95123,"Laurentian Pine Barrens",7407,2407,"Tr Laurentian Pine Barrens","Tree","Conifer",676,"Jack Pine Forest","SAF 15: Red Pine","Tree-dominated","Sparse tree canopy","Evergreen sparse tree canopy",174,245,224,0.682353,0.960784,0.878431,21155,0.4
"19",7409,2907,"Great Lakes Alvar",7409,2409,"He Great Lakes Alvar","Herb","Grassland",671,"Great Lakes Alvar","SAF 37: Northern White-Cedar","Herbaceous / Nonvascular-dominated","Herbaceous - shrub-steppe","Perennial graminoid steppe",216,216,191,0.847059,0.847059,0.74902,647,0
"20",7466,112604,"Great Lakes Wooded Dune and Swale",7466,2466,"Tr Great Lakes Wooded Dune and Swale","Tree","Riparian",675,"Inland Marshes and Prairies","SAF 1: Jack Pine","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",174,245,224,0.682353,0.960784,0.878431,25043,0.4
"21",7481,6363771,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",7481,2481,"Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Tree","Riparian",694,"Atlantic Swamp Forests","SAF 39: Black Ash-American Elm-Red Maple","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",50,137,168,0.196078,0.537255,0.658824,1415269,24.9
"22",7905,132990,"Eastern Cool Temperate Urban Deciduous Forest",7905,2913,"Dtd Urban Deciduous Forest","Tree","Developed",13,"Developed-Upland Deciduous Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Deciduous open tree canopy",112,68,137,0.439216,0.266667,0.537255,29576,0.5
"23",7906,113976,"Eastern Cool Temperate Urban Evergreen Forest",7906,2914,"Dtc Urban Evergreen Forest","Tree","Developed",14,"Developed-Upland Evergreen Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Evergreen open tree canopy",170,102,205,0.666667,0.4,0.803922,25348,0.4
"24",7907,91577,"Eastern Cool Temperate Urban Mixed Forest",7907,2915,"Dtm Urban Mixed Deciduous-Evergreen Forest","Tree","Developed",15,"Developed-Upland Mixed Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",194,158,215,0.760784,0.619608,0.843137,20366,0.4
"25",7908,70178,"Eastern Cool Temperate Urban Herbaceous",7908,2916,"Dgr Urban Herbaceous","Herb","Developed",16,"Developed-Upland Herbaceous","LF 20: Developed","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",202,122,245,0.792157,0.478431,0.960784,15607,0.3
"26",7909,31637,"Eastern Cool Temperate Urban Shrubland",7909,2917,"Dsh Urban Shrubland","Shrub","Developed",17,"Developed-Upland Shrubland","LF 20: Developed","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",207,171,215,0.811765,0.670588,0.843137,7036,0.1
"27",7925,13248,"Eastern Cool Temperate Developed Deciduous Forest",7925,2908,"Dtd Developed Deciduous Forest","Tree","Developed",13,"Developed-Upland Deciduous Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Deciduous open tree canopy",64,61,168,0.25098,0.239216,0.658824,2946,0.1
"28",7926,16064,"Eastern Cool Temperate Developed Evergreen Forest",7926,2909,"Dtc Developed Evergreen Forest","Tree","Developed",14,"Developed-Upland Evergreen Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Evergreen open tree canopy",102,119,205,0.4,0.466667,0.803922,3573,0.1
"29",7927,5667,"Eastern Cool Temperate Developed Mixed Forest",7927,2910,"Dtm Developed Mixed Deciduous-Evergreen Forest","Tree","Developed",15,"Developed-Upland Mixed Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",68,79,137,0.266667,0.309804,0.537255,1260,0
"30",7928,599,"Eastern Cool Temperate Developed Shrubland",7928,2912,"Dsh Developed Shrubland","Shrub","Developed",17,"Developed-Upland Shrubland","LF 20: Developed","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",122,142,245,0.478431,0.556863,0.960784,133,0
"31",7929,7410,"Eastern Cool Temperate Developed Herbaceous",7929,2911,"Dgr Developed Herbaceous","Herb","Developed",16,"Developed-Upland Herbaceous","LF 20: Developed","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",158,170,215,0.619608,0.666667,0.843137,1648,0
"32",7970,3317,"Eastern Cool Temperate Orchard",7970,2960,"Dab Orchard","Tree","Agricultural",60,"Agricultural-Orchard","LF 80: Agriculture","Tree-dominated","Open tree canopy","Deciduous open tree canopy",210,28,94,0.823529,0.109804,0.368627,738,0
"33",7971,2,"Eastern Cool Temperate Vineyard",7971,2961,"Da Vineyard","Agriculture","Agricultural",61,"Agricultural-Vineyard","LF 80: Agriculture","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",168,0,132,0.658824,0,0.517647,0,0
"34",7972,20,"Eastern Cool Temperate Bush fruit and berries",7972,2962,"Dab Bush Fruit and Berries","Shrub","Agricultural",62,"Agricultural-Bush fruit and berries","LF 80: Agriculture","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",210,28,119,0.823529,0.109804,0.466667,4,0
"35",7973,37734,"Eastern Cool Temperate Row Crop - Close Grown Crop",7973,2963,"Da Row Crop - Close Grown Crop","Agriculture","Agricultural",63,"Agricultural-Row Crop-Close Grown Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,245,140,1,0.960784,0.54902,8392,0.1
"36",7974,32234,"Eastern Cool Temperate Row Crop",7974,2964,"Da Row Crop","Agriculture","Agricultural",64,"Agricultural-Row Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,255,119,0.980392,1,0.466667,7169,0.1
"37",7975,136213,"Eastern Cool Temperate Close Grown Crop",7975,2965,"Da Close Grown Crop","Agriculture","Agricultural",65,"Agricultural-Close Grown Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,237,119,1,0.929412,0.466667,30293,0.5
"38",7976,86915,"Eastern Cool Temperate Fallow/Idle Cropland",7976,2966,"Dab Fallow/Idle Cropland","Herb","Agricultural",66,"Agricultural-Fallow/Idle Cropland","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,255,119,1,1,0.466667,19329,0.3
"39",7977,747018,"Eastern Cool Temperate Pasture and Hayland",7977,2967,"Dab Pasture and Hayland","Herb","Agricultural",67,"Agricultural-Pasture and Hayland","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",227,212,28,0.890196,0.831373,0.109804,166133,2.9
"40",7978,2781,"Eastern Cool Temperate Wheat",7978,2968,"Da Wheat","Agriculture","Agricultural",68,"Agricultural-Wheat","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,227,163,0.980392,0.890196,0.639216,618,0
"41",7979,2025,"Eastern Cool Temperate Aquaculture",7979,2969,"Da Aquaculture","Agriculture","Agricultural",69,"Agricultural-Aquaculture","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",210,255,237,0.823529,1,0.929412,450,0
"42",9055,110344,"Boreal-Laurentian Bog",9055,2477,"Tr Boreal Acidic Peatland Systems","Shrub","Riparian",683,"Peatland Forests","SAF 13: Black Spruce-Tamarack","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",186,163,119,0.729412,0.639216,0.466667,24540,0.4
"43",9056,2152227,"Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen",9056,2477,"Tr Boreal Acidic Peatland Systems","Tree","Riparian",683,"Peatland Forests","SAF 13: Black Spruce-Tamarack","Tree-dominated","Open tree canopy","Evergreen open tree canopy",186,163,119,0.729412,0.639216,0.466667,478644,8.4
"44",9057,31773,"Boreal-Laurentian-Acadian Acidic Basin Fen",9057,2494,"Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Shrub","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",255,92,38,1,0.360784,0.14902,7066,0.1
"45",9088,2606,"Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest",9088,2344,"Tr Boreal Jack Pine-Black Spruce Forest","Tree","Conifer",676,"Jack Pine Forest","SAF 1: Jack Pine","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",174,245,224,0.682353,0.960784,0.878431,580,0
"46",9089,1191194,"Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest",9089,2365,"Tr Boreal White Spruce-Fir Forest","Tree","Conifer",693,"Spruce-Fir-Hardwood Forest","SAF 5: Balsam Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",182,250,227,0.713725,0.980392,0.890196,264915,4.7
"47",9099,169,"Great Lakes Acidic Rocky Shore and Cliff",9099,2499,"Sps Laurentian-Acadian Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,38,0
"48",9100,620,"Great Lakes Alkaline Rocky Shore and Cliff",9100,2499,"Sps Laurentian-Acadian Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,138,0
"49",9101,7183,"Great Lakes Dune",9101,2499,"Sps Laurentian-Acadian Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,1597,0
"50",9111,8685,"Laurentian Acidic Rocky Outcrop Woodland",9111,2559,"Tr Laurentian Acidic Rocky Outcrop","Tree","Conifer",676,"Jack Pine Forest","SAF 15: Red Pine","Tree-dominated","Sparse tree canopy","Evergreen sparse tree canopy",174,245,224,0.682353,0.960784,0.878431,1931,0
"51",9112,1646029,"Laurentian Jack Pine-Red Pine Forest",9112,2246,"Tr Laurentian Jack Pine-Red Pine Forest","Tree","Conifer",676,"Jack Pine Forest","SAF 15: Red Pine","Tree-dominated","Sparse tree canopy","Evergreen sparse tree canopy",174,245,224,0.682353,0.960784,0.878431,366068,6.4
"52",9113,96,"Laurentian-Acadian Acidic Cliff and Talus",9113,2499,"Sps Laurentian-Acadian Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,21,0
"53",9114,11716,"Laurentian-Acadian Alkaline Fen",9114,2494,"Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Shrub","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",255,92,38,1,0.360784,0.14902,2606,0
"54",9117,87733,"Laurentian-Acadian Floodplain Forest",9117,2475,"Tr Laurentian-Acadian Floodplain Systems","Tree","Riparian",666,"Eastern Floodplain Forests","SAF 39: Black Ash-American Elm-Red Maple","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",50,137,168,0.196078,0.537255,0.658824,19511,0.3
"55",9118,128740,"Laurentian-Acadian Freshwater Marsh",9118,2494,"Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,92,38,1,0.360784,0.14902,28631,0.5
"56",9120,220471,"Laurentian-Acadian Wet Meadow",9120,2494,"Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Herb","Riparian",783,"Wet Meadow","LF 44: Laurentian-Acadian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,92,38,1,0.360784,0.14902,49032,0.9
"57",9183,1,"North-Central Interior Shrub Swamp",9183,2493,"Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Shrub","Riparian",675,"Inland Marshes and Prairies","LF 45: Central Interior and Appalachian Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",91,195,199,0.356863,0.764706,0.780392,0,0
"58",9202,29396,"Northern Great Lakes Coastal Marsh",9202,2492,"He Great Lakes Coastal Marsh Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,92,38,1,0.360784,0.14902,6538,0.1
"59",9203,1525,"Northern Great Lakes Interdunal Wetland",9203,2492,"He Great Lakes Coastal Marsh Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,92,38,1,0.360784,0.14902,339,0
"60",9295,411,"Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest",9088,2544,"Tr Boreal Jack Pine-Black Spruce-Hardwood Forest","Tree","Conifer-Hardwood",676,"Jack Pine Forest","SAF 1: Jack Pine","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",174,245,224,0.682353,0.960784,0.878431,91,0
"61",9312,306995,"Northeastern North American Temperate Forest Plantation",9312,2562,"Tr Northeastern North American Temperate Forest Plantation","Tree","Conifer",731,"Managed Tree Plantation","LF 61: Managed Tree Plantation","Tree-dominated","Open Tree Canopy","Evergreen open tree canopy",158,67,14,0.619608,0.262745,0.054902,68274,1.2
"62",9314,2233,"Northern & Central Native Ruderal Flooded & Swamp Forest",9314,2565,"Tr Northern & Central Native Ruderal Flooded & Swamp Forest","Tree","Riparian",740,"Ruderal Forest","LF 53: Ruderal Forest","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",255,105,46,1,0.411765,0.180392,497,0
"63",9315,40125,"Northern & Central Native Ruderal Forest",9315,2566,"Tr Northern & Central Native Ruderal Forest","Tree","Conifer-Hardwood",740,"Ruderal Forest","LF 53: Ruderal Forest","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",255,105,46,1,0.411765,0.180392,8924,0.2
"64",9317,66452,"Northern & Central Ruderal Shrubland",9317,2568,"Sh Northern & Central Ruderal Meadow & Shrubland","Shrub","Exotic Tree-Shrub",706,"Introduced Upland Vegetation-Shrub","LF 52: Introduced Upland Vegetation - Shrub","Shrub-dominated","Shrubland","Deciduous shrubland",255,105,46,1,0.411765,0.180392,14779,0.3
"65",9318,442,"Northern & Central Ruderal Wet Meadow & Marsh",9318,2569,"He Northern & Central Ruderal Wet Meadow & Marsh","Herb","Riparian",709,"Introduced Herbaceous Wetland Vegetation","LF 59: Introduced Herbaceous Wetland and Riparian Vegetation","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,105,46,1,0.411765,0.180392,98,0
"66",9601,1880,"Great Lakes Dune Grassland",9101,2251,"He Great Lakes Dune Grassland","Herb","Grassland",654,"Atlantic Dunes and Grasslands","LF 57: Dunes and Maritime Grasslands","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,98,41,1,0.384314,0.160784,418,0
"67",9611,919,"Laurentian Acidic Rocky Outcrop Shrubland",9111,2559,"Tr Laurentian Acidic Rocky Outcrop","Shrub","Shrubland",676,"Jack Pine Forest","SAF 15: Red Pine","Shrub-dominated","Shrubland","Evergreen shrubland",174,245,224,0.682353,0.960784,0.878431,204,0
"68",9617,2064,"Laurentian-Acadian Floodplain Shrubland",9117,2475,"Tr Laurentian-Acadian Floodplain Systems","Shrub","Riparian",666,"Eastern Floodplain Forests","SAF 39: Black Ash-American Elm-Red Maple","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",50,137,168,0.196078,0.537255,0.658824,459,0
"69",9620,138773,"Laurentian-Acadian Shrub Swamp",9120,2494,"Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Shrub","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",255,92,38,1,0.360784,0.14902,30862,0.5
"70",9817,452784,"Northern & Central Ruderal Meadow",9317,2568,"Sh Northern & Central Ruderal Meadow & Shrubland","Herb","Exotic Herbaceous",703,"Introduced Perennial Grassland and Forbland","LF 54: Introduced Upland Vegetation - Herbaceous","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,105,46,1,0.411765,0.180392,100697,1.8
